dataset,split,Gaussian Process,XGBoost,FFNN,3D/SI/Net,3D/MI/Bag-AttentionNet
A2a,SCAF_00,0.012975648261492556,-0.3013526528467665,-0.009198791189165112,0.02,0.33
A2a,SCAF_01,0.3744013215367608,0.3863785186381117,0.1796517653566544,0.33,0.49
A2a,SCAF_02,0.5977982980338175,0.7579983074413128,0.7025881670958027,-0.48,0.31
A2a,SCAF_03,0.28762731254032603,-0.2809692470313718,0.35404996100244795,-2.81,-1.45
A2a,SCAF_04,0.642141952520045,0.6851892485022911,0.6802848875471578,0.01,0.17
A2a,SCAF_05,0.4253178696797847,0.3249937435675205,0.4572039915132397,-0.27,0.3
A2a,SCAF_06,0.2171754030344598,0.06764545205898853,0.08953315249306483,0.48,0.4
A2a,SCAF_07,0.4419771845423404,0.7576419944739697,0.5773181769822735,-0.49,-0.69
A2a,SCAF_08,0.16901829284551062,0.0953633723049364,0.14936456177144686,-0.09,0.18
A2a,SCAF_09,0.35682954598847816,-0.24075751956378436,0.3010230672611981,-0.69,-0.75
ABL1,SCAF_00,0.2751163593106575,0.12736511787222604,0.2153373732914824,-0.5,0.16
ABL1,SCAF_01,0.4598833916904018,0.33289151826627394,0.3441066115452698,-0.21,0.06
ABL1,SCAF_02,0.4557432040205188,0.4046678149166192,0.3923065195839559,-0.21,-0.05
ABL1,SCAF_03,0.43725132178877335,0.3098359920491717,0.4319771364919823,-0.12,0.08
ABL1,SCAF_04,0.4811123439134307,0.4735178730418434,0.42155918584476304,0.04,0.28
ABL1,SCAF_05,0.3587874904709383,0.2812498927439103,0.36579267220719824,-0.02,0.1
ABL1,SCAF_06,0.3086730649665689,0.07890142978524572,0.2956834845041785,-0.32,0.1
ABL1,SCAF_07,0.2916973345180785,0.3083950740694623,0.3005548095325337,-0.06,0.04
ABL1,SCAF_08,0.36756600364838266,0.2777344648858245,0.2630669187348105,-0.15,0.11
ABL1,SCAF_09,0.4728412746142439,0.2199460554624767,0.4170885979668182,-0.06,0.21
Acetylcholinesterase,SCAF_00,0.38052038066622695,0.33841600124772964,0.3174927453559463,0.04,0.15
Acetylcholinesterase,SCAF_01,0.4405448373947626,0.3968680160296025,0.32595657370737485,0.09,0.21
Acetylcholinesterase,SCAF_02,0.3126256251662505,0.25370720508989497,0.26066846550865697,0.06,0.28
Acetylcholinesterase,SCAF_03,0.3795117072457319,0.3362489229315385,0.28893188992947594,0.06,0.18
Acetylcholinesterase,SCAF_04,0.4982364219154974,0.43143537314720615,0.4283302812408888,-0.04,0.2
Acetylcholinesterase,SCAF_05,0.417992287712873,0.26728939145078023,0.37314107799163604,-0.02,0.19
Acetylcholinesterase,SCAF_06,0.4334697737603558,0.36550746176366544,0.3627732956086138,0.09,0.2
Acetylcholinesterase,SCAF_07,0.4742598174552008,0.4688423043274446,0.4016565393994702,0.07,0.23
Acetylcholinesterase,SCAF_08,0.5401971434660628,0.4791936646667933,0.469085787395321,0.08,0.22
Acetylcholinesterase,SCAF_09,0.4899971829250969,0.43857501603325605,0.4223335348897941,0.1,0.3
Aurora-A,SCAF_00,0.5949494662414442,0.5015138458286408,0.4860360173580465,0.35,0.41
Aurora-A,SCAF_01,0.5973538878588734,0.5471728822079609,0.5394822490123015,0.19,0.48
Aurora-A,SCAF_02,0.5888052712222615,0.4695998765654397,0.5514958676515482,0.28,0.4
Aurora-A,SCAF_03,0.5853339890280365,0.5229881155121212,0.5195914854473287,0.33,0.39
Aurora-A,SCAF_04,0.3177024396585557,0.08193272462629653,0.16094020721052138,0.43,0.44
Aurora-A,SCAF_05,0.5434085764166314,0.496503857173734,0.5138325525016203,0.22,0.47
Aurora-A,SCAF_06,0.5604810057278253,0.5678481976747807,0.5501567172367043,0.37,0.44
Aurora-A,SCAF_07,0.5651164783070337,0.5404910351652036,0.5264936329472867,0.23,0.43
Aurora-A,SCAF_08,0.5430168799888655,0.4642732943490532,0.41544084392009184,0.2,0.39
Aurora-A,SCAF_09,0.5342867702517777,0.4322122082342347,0.3715510634761727,0.21,0.32
B-raf,SCAF_00,0.674947729591016,0.5914581783977421,0.6345852523536019,0.33,0.46
B-raf,SCAF_01,0.6386222355309608,0.587703340739139,0.5846833569335212,0.24,0.48
B-raf,SCAF_02,0.6603589395148237,0.5371859342898111,0.6212593176848782,0.12,0.29
B-raf,SCAF_03,0.5556882521607751,0.4914723972488805,0.5407570986572425,0.38,0.52
B-raf,SCAF_04,0.6430715309754401,0.6363153629857181,0.5905488046443756,0.39,0.57
B-raf,SCAF_05,0.5355027376200839,0.4507617393337829,0.4530954415729696,0.23,0.53
B-raf,SCAF_06,0.7057401092625144,0.6836504041700174,0.7003449983247636,0.3,0.53
B-raf,SCAF_07,0.5122018848210061,0.3825596262393692,0.43935649464770143,0.41,0.36
B-raf,SCAF_08,0.5939686033189805,0.547573292265266,0.5245297348762151,0.31,0.55
B-raf,SCAF_09,0.6940745452818113,0.6037775805936729,0.6514942944383051,0.23,0.53
Cannabinoid,SCAF_00,0.4904456413106128,0.4773677684586055,0.444544985329714,0.11,0.33
Cannabinoid,SCAF_01,0.6409580723048358,0.5256022659378324,0.5620772062892619,-0.08,0.18
Cannabinoid,SCAF_02,0.5752368241044999,0.5567169032181373,0.5317019291104749,-0.39,0.21
Cannabinoid,SCAF_03,0.4414041695191422,0.3127685181090045,0.2879775782094796,-0.01,0.12
Cannabinoid,SCAF_04,0.5305781761975548,0.4998309443874107,0.4079397403535463,-0.06,0.12
Cannabinoid,SCAF_05,0.5262318873744399,0.3989380994637882,0.36596069913253215,-0.23,-0.17
Cannabinoid,SCAF_06,0.5437427624151914,0.4935320851561757,0.5115877018280268,-0.11,0.2
Cannabinoid,SCAF_07,0.5221872180822169,0.4467413686665664,0.42804181442596795,0.1,0.45
Cannabinoid,SCAF_08,0.5364086685171101,0.4636693180360154,0.5458463688518334,0.05,0.3
Cannabinoid,SCAF_09,0.5236372713570386,0.4633856703563045,0.5338596558681903,-0.04,0.17
Carbonic,SCAF_00,0.6524705513891441,0.5625655325197414,0.5516541147134042,0.45,0.49
Carbonic,SCAF_01,0.6171440477694756,0.6363338405104093,0.5709895248143055,0.17,0.48
Carbonic,SCAF_02,0.6832698598514317,0.6464040499204224,0.6384019957972098,0.29,0.3
Carbonic,SCAF_03,0.5273465428257527,0.3580487146926199,0.30553075596431256,0.11,0.22
Carbonic,SCAF_04,0.5942374252966611,0.5968479226243113,0.37071027289525227,0.16,0.34
Carbonic,SCAF_05,0.5581181942205439,0.490022585015691,0.5400194245286458,0.04,0.59
Carbonic,SCAF_06,0.7383314700253462,0.6798898749851771,0.7737866677543879,0.12,0.29
Carbonic,SCAF_07,0.7848370198311739,0.8308335440584333,0.8122746044769404,0.48,0.66
Carbonic,SCAF_08,0.7437582928887809,0.7856677739215616,0.7827935865867582,0.22,0.31
Carbonic,SCAF_09,0.5673516550828832,0.4765284345582537,0.2942051441028739,0.04,0.28
Caspase,SCAF_00,0.6889205725691938,0.6830343385498348,0.6460394683658629,0.23,0.38
Caspase,SCAF_01,0.6352373594865661,0.5695507307167949,0.5664872670004727,0.26,0.39
Caspase,SCAF_02,0.6769825622305071,0.6044725021662487,0.6036007448596731,0.15,0.37
Caspase,SCAF_03,0.612323923633334,0.5310945935685948,0.5764742569515868,0.25,0.33
Caspase,SCAF_04,0.7524886101471571,0.7543467807271528,0.7470281032697716,0.2,0.35
Caspase,SCAF_05,0.6604316629766498,0.5655501401072562,0.5652091425683359,0.12,0.43
Caspase,SCAF_06,0.6244347006480068,0.5716294658779425,0.5099628072300393,0.12,0.44
Caspase,SCAF_07,0.6620991785845595,0.5997698042181562,0.6555979575156357,0.31,0.41
Caspase,SCAF_08,0.748650156383065,0.7260008755975667,0.6950973092488145,0.12,0.24
Caspase,SCAF_09,0.6769604534514717,0.6563996832139458,0.6817944670635689,0.28,0.35
Coagulation,SCAF_00,0.4371396482572606,0.31491868040919857,0.29443613274475,-0.12,-0.01
Coagulation,SCAF_01,0.4871457200970244,0.3895888478550171,0.4016817690564405,-0.17,-0.12
Coagulation,SCAF_02,0.4532098980550496,0.4249916603732757,0.3243886300226689,-0.38,0.02
Coagulation,SCAF_03,0.4392228360754852,0.4161100276419136,0.3547797072547053,-0.42,-0.15
Coagulation,SCAF_04,0.42214785510485203,0.19292409102691452,0.34421681212383204,-0.57,-0.2
Coagulation,SCAF_05,0.5815433255345053,0.5061485381530758,0.5207008510405753,-0.54,-0.04
Coagulation,SCAF_06,0.4473658660917582,0.36904875748085103,0.3710966838044771,-0.41,-0.19
Coagulation,SCAF_07,0.4463331858116546,0.3419938390871929,0.4249733457220997,-0.31,-0.02
Coagulation,SCAF_08,0.5248333176417321,0.3637472549637401,0.4947756726278034,-0.47,0.11
Coagulation,SCAF_09,0.3642957260421029,0.3061090099153993,0.2399303305535968,-0.43,-0.25
Dihydrofolate,SCAF_00,0.02399353802292059,-0.08662808512662568,-0.10292424633591724,0.08,0.15
Dihydrofolate,SCAF_01,0.21800189949280854,0.09767538114358464,0.2019282198048451,-0.12,0.11
Dihydrofolate,SCAF_02,0.2327015827295811,0.16871028617862172,0.20094175441775308,0.3,0.43
Dihydrofolate,SCAF_03,0.4469444793685583,0.3423612470639897,0.26991810152852824,0.08,0.29
Dihydrofolate,SCAF_04,-0.0016794697432733765,-0.21125085741598212,-0.1250366184576872,-0.01,0.16
Dihydrofolate,SCAF_05,0.07970251386110139,-0.023745534084042896,-0.08283969822602821,-0.19,0.01
Dihydrofolate,SCAF_06,0.20477338380517374,0.08309916879716693,0.2153128345020523,-0.14,0.24
Dihydrofolate,SCAF_07,0.29184969119888404,0.30287456612419816,0.342519752496669,-0.11,0.24
Dihydrofolate,SCAF_08,0.3250383351373298,0.3634719026630051,0.3240791687542729,-0.05,0.32
Dihydrofolate,SCAF_09,-0.08114640427248633,-0.26584916149144394,-0.2506830559727207,-0.12,0.26
Dopamine,SCAF_00,0.3147427687688611,0.21110805013604766,0.04559545515765917,-0.2,0.24
Dopamine,SCAF_01,0.11531476233433224,0.11244316082107553,0.015563984912451924,-0.31,0.16
Dopamine,SCAF_02,0.3001464298229297,0.035435856151331824,0.2466990205539379,-0.52,0.31
Dopamine,SCAF_03,0.2298452740743505,-0.05671224038223999,0.03200254931317692,-0.7,-0.06
Dopamine,SCAF_04,0.2846462620944462,0.07967801375996098,0.35660031568167705,-0.83,0.05
