Dataset,Method,R2
A2a.smi,3D/SI/Net,0.35
A2a.smi,3D/MI/Bag-AttentionNet,0.44
A2a.smi,3D/SI/Net,0.12
A2a.smi,3D/MI/Bag-AttentionNet,0.48
A2a.smi,3D/SI/Net,-0.63
A2a.smi,3D/MI/Bag-AttentionNet,0.45
A2a.smi,3D/SI/Net,0.30
A2a.smi,3D/MI/Bag-AttentionNet,0.35
A2a.smi,3D/SI/Net,0.35
A2a.smi,3D/MI/Bag-AttentionNet,0.39
A2a.smi,3D/SI/Net,-0.02
A2a.smi,3D/MI/Bag-AttentionNet,0.48
A2a.smi,3D/SI/Net,0.57
A2a.smi,3D/MI/Bag-AttentionNet,-0.02
A2a.smi,3D/SI/Net,0.28
A2a.smi,3D/MI/Bag-AttentionNet,-0.02
A2a.smi,3D/SI/Net,-0.52
A2a.smi,3D/MI/Bag-AttentionNet,-0.06
A2a.smi,3D/SI/Net,0.01
A2a.smi,3D/MI/Bag-AttentionNet,0.11
ABL1.smi,3D/SI/Net,0.02
ABL1.smi,3D/MI/Bag-AttentionNet,0.39
ABL1.smi,3D/SI/Net,0.08
ABL1.smi,3D/MI/Bag-AttentionNet,0.31
ABL1.smi,3D/SI/Net,0.19
ABL1.smi,3D/MI/Bag-AttentionNet,0.29
ABL1.smi,3D/SI/Net,-0.00
ABL1.smi,3D/MI/Bag-AttentionNet,0.14
ABL1.smi,3D/SI/Net,-0.02
ABL1.smi,3D/MI/Bag-AttentionNet,0.20
ABL1.smi,3D/SI/Net,0.05
ABL1.smi,3D/MI/Bag-AttentionNet,0.37
ABL1.smi,3D/SI/Net,0.13
ABL1.smi,3D/MI/Bag-AttentionNet,0.37
ABL1.smi,3D/SI/Net,0.09
ABL1.smi,3D/MI/Bag-AttentionNet,0.29
ABL1.smi,3D/SI/Net,0.02
ABL1.smi,3D/MI/Bag-AttentionNet,0.32
ABL1.smi,3D/SI/Net,-0.09
ABL1.smi,3D/MI/Bag-AttentionNet,0.26
Acetylcholinesterase.smi,3D/SI/Net,0.10
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.38
Acetylcholinesterase.smi,3D/SI/Net,0.08
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.34
Acetylcholinesterase.smi,3D/SI/Net,0.09
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.23
Acetylcholinesterase.smi,3D/SI/Net,-0.02
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.36
Acetylcholinesterase.smi,3D/SI/Net,0.07
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.31
Acetylcholinesterase.smi,3D/SI/Net,0.10
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.33
Acetylcholinesterase.smi,3D/SI/Net,0.05
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.32
Acetylcholinesterase.smi,3D/SI/Net,0.08
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.29
Acetylcholinesterase.smi,3D/SI/Net,0.09
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.40
Acetylcholinesterase.smi,3D/SI/Net,0.05
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.25
Aurora-A.smi,3D/SI/Net,0.28
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.54
Aurora-A.smi,3D/SI/Net,0.45
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.54
Aurora-A.smi,3D/SI/Net,0.34
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.50
Aurora-A.smi,3D/SI/Net,0.37
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.59
Aurora-A.smi,3D/SI/Net,0.36
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.40
Aurora-A.smi,3D/SI/Net,0.34
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.42
Aurora-A.smi,3D/SI/Net,0.35
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.43
Aurora-A.smi,3D/SI/Net,0.27
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.36
Aurora-A.smi,3D/SI/Net,0.36
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.47
Aurora-A.smi,3D/SI/Net,0.39
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.46
B-raf.smi,3D/SI/Net,0.39
B-raf.smi,3D/MI/Bag-AttentionNet,0.51
B-raf.smi,3D/SI/Net,0.41
B-raf.smi,3D/MI/Bag-AttentionNet,0.53
B-raf.smi,3D/SI/Net,0.45
B-raf.smi,3D/MI/Bag-AttentionNet,0.52
B-raf.smi,3D/SI/Net,0.52
B-raf.smi,3D/MI/Bag-AttentionNet,0.58
B-raf.smi,3D/SI/Net,0.36
B-raf.smi,3D/MI/Bag-AttentionNet,0.51
B-raf.smi,3D/SI/Net,0.34
B-raf.smi,3D/MI/Bag-AttentionNet,0.44
B-raf.smi,3D/SI/Net,0.45
B-raf.smi,3D/MI/Bag-AttentionNet,0.51
B-raf.smi,3D/SI/Net,0.32
B-raf.smi,3D/MI/Bag-AttentionNet,0.49
B-raf.smi,3D/SI/Net,0.39
B-raf.smi,3D/MI/Bag-AttentionNet,0.50
B-raf.smi,3D/SI/Net,0.32
B-raf.smi,3D/MI/Bag-AttentionNet,0.48
Cannabinoid.smi,3D/SI/Net,0.00
Cannabinoid.smi,3D/MI/Bag-AttentionNet,0.36
Cannabinoid.smi,3D/SI/Net,0.15
Cannabinoid.smi,3D/MI/Bag-AttentionNet,0.20
Cannabinoid.smi,3D/SI/Net,0.06
Cannabinoid.smi,3D/MI/Bag-AttentionNet,0.27
Cannabinoid.smi,3D/SI/Net,-0.00
Cannabinoid.smi,3D/MI/Bag-AttentionNet,0.25
Cannabinoid.smi,3D/SI/Net,-0.02
Cannabinoid.smi,3D/MI/Bag-AttentionNet,0.19
Cannabinoid.smi,3D/SI/Net,0.11
Cannabinoid.smi,3D/MI/Bag-AttentionNet,0.32
Cannabinoid.smi,3D/SI/Net,0.28
