Dataset,Method,R2
A2a.smi,3D/SI/Net,0.02
A2a.smi,3D/MI/Bag-AttentionNet,0.33
A2a.smi,3D/SI/Net,0.33
A2a.smi,3D/MI/Bag-AttentionNet,0.49
A2a.smi,3D/SI/Net,-0.48
A2a.smi,3D/MI/Bag-AttentionNet,0.31
A2a.smi,3D/SI/Net,-2.81
A2a.smi,3D/MI/Bag-AttentionNet,-1.45
A2a.smi,3D/SI/Net,0.01
A2a.smi,3D/MI/Bag-AttentionNet,0.17
A2a.smi,3D/SI/Net,-0.27
A2a.smi,3D/MI/Bag-AttentionNet,0.30
A2a.smi,3D/SI/Net,0.48
A2a.smi,3D/MI/Bag-AttentionNet,0.40
A2a.smi,3D/SI/Net,-0.49
A2a.smi,3D/MI/Bag-AttentionNet,-0.69
A2a.smi,3D/SI/Net,-0.09
A2a.smi,3D/MI/Bag-AttentionNet,0.18
A2a.smi,3D/SI/Net,-0.69
A2a.smi,3D/MI/Bag-AttentionNet,-0.75
ABL1.smi,3D/SI/Net,-0.50
ABL1.smi,3D/MI/Bag-AttentionNet,0.16
ABL1.smi,3D/SI/Net,-0.21
ABL1.smi,3D/MI/Bag-AttentionNet,0.06
ABL1.smi,3D/SI/Net,-0.21
ABL1.smi,3D/MI/Bag-AttentionNet,-0.05
ABL1.smi,3D/SI/Net,-0.12
ABL1.smi,3D/MI/Bag-AttentionNet,0.08
ABL1.smi,3D/SI/Net,0.04
ABL1.smi,3D/MI/Bag-AttentionNet,0.28
ABL1.smi,3D/SI/Net,-0.02
ABL1.smi,3D/MI/Bag-AttentionNet,0.10
ABL1.smi,3D/SI/Net,-0.32
ABL1.smi,3D/MI/Bag-AttentionNet,0.10
ABL1.smi,3D/SI/Net,-0.06
ABL1.smi,3D/MI/Bag-AttentionNet,0.04
ABL1.smi,3D/SI/Net,-0.15
ABL1.smi,3D/MI/Bag-AttentionNet,0.11
ABL1.smi,3D/SI/Net,-0.06
ABL1.smi,3D/MI/Bag-AttentionNet,0.21
Acetylcholinesterase.smi,3D/SI/Net,0.04
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.15
Acetylcholinesterase.smi,3D/SI/Net,0.09
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.21
Acetylcholinesterase.smi,3D/SI/Net,0.06
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.28
Acetylcholinesterase.smi,3D/SI/Net,0.06
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.18
Acetylcholinesterase.smi,3D/SI/Net,-0.04
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.20
Acetylcholinesterase.smi,3D/SI/Net,-0.02
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.19
Acetylcholinesterase.smi,3D/SI/Net,0.09
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.20
Acetylcholinesterase.smi,3D/SI/Net,0.07
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.23
Acetylcholinesterase.smi,3D/SI/Net,0.08
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.22
Acetylcholinesterase.smi,3D/SI/Net,0.10
Acetylcholinesterase.smi,3D/MI/Bag-AttentionNet,0.30
Aurora-A.smi,3D/SI/Net,0.35
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.41
Aurora-A.smi,3D/SI/Net,0.19
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.48
Aurora-A.smi,3D/SI/Net,0.28
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.40
Aurora-A.smi,3D/SI/Net,0.33
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.39
Aurora-A.smi,3D/SI/Net,0.43
Aurora-A.smi,3D/MI/Bag-AttentionNet,0.44
Aurora-A.smi,3D/SI/Net,0.22
